date,league_code,league,event_id,kickoff,status,home_team,away_team,home_probability,draw_probability,away_probability,predicted_result,home_xg,away_xg,total_xg,predicted_home_goals,predicted_away_goals,predicted_score,score_probability,home_sot,away_sot,total_sot,home_corners,away_corners,total_corners
2026-09-11,SP1,La Liga,401882878,2026-09-11T19:00Z,"Fri, September 11th at 3:00 PM EDT",Sevilla,Valencia,0.4354070033894807,0.2644927837467427,0.30010021286377664,Sevilla WIN,1.4657893314612698,1.1500335965245012,2.615822927985771,1,1,1-1,0.12323799413301018,4.005265153424084,3.288775902770272,7.294041056194356,4.311660679645637,3.8155658726753168,8.127226552320954
2026-09-11,I1,Serie A,401874759,2026-09-11T18:45Z,"Fri, September 11th at 2:45 PM EDT",Venezia,Fiorentina,0.27700669287011226,0.2816772670178837,0.44131604011200404,Fiorentina WIN,0.9714757633246218,1.334391374878394,2.305867138203016,0,1,0-1,0.13300190211157928,5.266457640735176,3.9225560296406865,9.189013670375862,4.563252894882934,3.6471405630517326,8.210393457934668
2026-09-11,D1,Bundesliga,401884793,2026-09-11T18:30Z,"Fri, September 11th at 2:30 PM EDT",Union Berlin,Schalke 04,0.7024861200109741,0.18658127773230343,0.11093260225672245,Union Berlin WIN,2.2414951921571733,0.6886574256658615,2.930152617823035,2,0,2-0,0.13412091716654043,8.86685082997968,3.616855672180648,12.483706502160329,8.23051650272953,3.129434004845149,11.35995050757468
2026-09-11,F1,Ligue 1,401876459,2026-09-11T18:45Z,"Fri, September 11th at 2:45 PM EDT",Rennes,Marseille,0.5369069995298598,0.2259724898159902,0.23712051065415013,Rennes WIN,1.9772145082166062,1.2022045556093677,3.179419063825974,1,1,1-1,0.09890722171612759,4.841415466468199,4.655739677521942,9.497155143990142,5.236144217120547,4.926293010732186,10.162437227852733
