date,league,home_team,away_team,pick,pick_code,odds,model_probability,market_probability,break_even,signal,betting_edge,expected_roi,actual_clv,actual_result,won,decision,profit,reason,season
2022-09-04,Ligue 1,Clermont,Toulouse,DRAW,D,3.5,0.2890240977880745,0.2863822326125073,0.2857142857142857,0.002641865175567193,0.003309812073788776,0.01158434225826066,-0.004575774984861891,H,False,BET,-10.0,Qualifies,2022/23
2022-10-20,La Liga,Osasuna,Espanol,DRAW,D,3.6,0.28391101610569025,0.2808427013933184,0.2777777777777778,0.0030683147123718446,0.00613323832791246,0.022079657980484946,0.014493596024144462,H,False,BET,-10.0,Qualifies,2022/23
2022-11-05,Serie A,Salernitana,Cremonese,DRAW,D,3.6,0.2840144518194033,0.2798673439844182,0.2777777777777778,0.00414710783498512,0.006236674041625534,0.02245202654985201,-0.00035283339767089306,D,True,BET,26.0,Qualifies,2022/23
2022-11-06,Premier League,Aston Villa,Man United,DRAW,D,3.8,0.273547291678522,0.2709469481526091,0.2631578947368421,0.0026003435259128738,0.010389396941679896,0.03947970837838355,0.004101988889317398,H,False,BET,-10.0,Qualifies,2022/23
2023-12-02,Serie A,Genoa,Empoli,DRAW,D,3.6,0.2819110458750486,0.27901647891768777,0.2777777777777778,0.0028945669573608446,0.004133268097270826,0.014879765150175084,0.010621125116301089,D,True,BET,26.0,Qualifies,2023/24
2024-09-14,La Liga,Espanol,Alaves,DRAW,D,3.2,0.31762617295190226,0.3126599566640099,0.3125,0.004966216287892344,0.005126172951902264,0.016403753446087244,0.006736832594365916,H,False,BET,-10.0,Qualifies,2024/25
2024-09-14,La Liga,Mallorca,Villarreal,DRAW,D,3.4,0.2974868839906196,0.2930205668760048,0.29411764705882354,0.004466317114614815,0.0033692369317960824,0.011455405568106647,0.00264260285048451,A,False,BET,-10.0,Qualifies,2024/25
2024-10-21,Premier League,Nott'm Forest,Crystal Palace,DRAW,D,3.5,0.2923750914323896,0.28844619635060303,0.2857142857142857,0.003928895081786565,0.0066608057181039015,0.023312820013363655,0.0064830388948102224,H,False,BET,-10.0,Qualifies,2024/25
2024-10-27,La Liga,Getafe,Valencia,DRAW,D,3.1,0.33074791900778366,0.3260775359178639,0.3225806451612903,0.0046703830899197385,0.00816727384649335,0.025318548924129436,0.005745269963944977,D,True,BET,21.0,Qualifies,2024/25
2024-10-27,La Liga,Betis,Ath Madrid,DRAW,D,3.4,0.30112082029764214,0.2969073379543268,0.29411764705882354,0.004213482343315367,0.007003173238818605,0.02381078901198319,-0.0043929990161435395,H,False,BET,-10.0,Qualifies,2024/25
2024-11-07,Serie A,Genoa,Como,DRAW,D,3.3,0.3072531952363012,0.30311997426825343,0.30303030303030304,0.004133220968047746,0.004222892205998141,0.013935544279793932,0.01089386656219643,D,True,BET,23.0,Qualifies,2024/25
2024-11-09,La Liga,Leganes,Sevilla,DRAW,D,3.2,0.317385469179177,0.31266403671202003,0.3125,0.00472143246715695,0.004885469179176982,0.015633501373366387,0.009877881732095362,H,False,BET,-10.0,Qualifies,2024/25
2025-01-26,La Liga,Sociedad,Getafe,DRAW,D,3.4,0.29892847253691046,0.29617700642717076,0.29411764705882354,0.0027514661097396975,0.004810825478086922,0.016356806625495546,0.02756359187152385,A,False,BET,-10.0,Qualifies,2024/25
2025-03-02,La Liga,Leganes,Getafe,DRAW,D,2.88,0.35259041540725383,0.3472463627192396,0.3472222222222222,0.005344052688014245,0.005368193185031622,0.015460396372890983,0.006659771456078656,H,False,BET,-10.0,Qualifies,2024/25
2025-04-20,Premier League,Fulham,Chelsea,DRAW,D,3.7,0.2739122612816798,0.27050519883470314,0.27027027027027023,0.0034070624469766386,0.003641991011409551,0.013475366742215167,-0.0013291193284531433,A,False,BET,-10.0,Qualifies,2024/25
2025-08-30,Ligue 1,Nantes,Auxerre,DRAW,D,3.4,0.29805135692583345,0.2938079799698263,0.29411764705882354,0.004243376956007128,0.003933709867009916,0.013374613547833647,-0.003052724665330242,H,False,BET,-10.0,Qualifies,2025/26
2025-10-05,La Liga,Sociedad,Vallecano,DRAW,D,3.6,0.2839044421454588,0.2802991449720222,0.2777777777777778,0.0036052971734366057,0.006126664367681001,0.02205599172365158,0.002954163513178676,A,False,BET,-10.0,Qualifies,2025/26
2025-11-29,La Liga,Ath Madrid,Oviedo,Oviedo,A,17.0,0.06682275204048461,0.06404415795542616,0.058823529411764705,0.0027785940850584556,0.00799922262871991,0.13598678468823855,0.011509822052091653,H,False,BET,-10.0,Qualifies,2025/26
2026-02-13,La Liga,Elche,Osasuna,DRAW,D,3.3,0.3076523624040694,0.30295924666188856,0.30303030303030304,0.004693115742180842,0.004622059373766363,0.015252795933428986,-0.0027837487999963217,D,True,BET,23.0,Qualifies,2025/26
2026-05-10,La Liga,Oviedo,Getafe,DRAW,D,3.25,0.311938867279225,0.3074968233799238,0.3076923076923077,0.004442043899301196,0.004246559586917276,0.013801318657481243,0.023850018098026116,D,True,BET,22.5,Qualifies,2025/26
