date,league,home_team,away_team,result,prob_home,prob_draw,prob_away,prediction,logistic_weight,poisson_weight,boosting_weight,boosting_temperature,avg_home_odds,avg_draw_odds,avg_away_odds,avg_close_home_odds,avg_close_draw_odds,avg_close_away_odds,early_prob_home,early_prob_draw,early_prob_away,close_prob_home,close_prob_draw,close_prob_away
2025-08-15,Premier League,Liverpool,Bournemouth,H,0.7119107673487569,0.1715365561327641,0.1165526765184787,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.31,5.96,8.31,1.29,6.02,8.68,0.7259844066296011,0.15957039810147275,0.11444519526892628,0.7337278106508877,0.15722738799661878,0.10904480135249367
2025-08-15,Ligue 1,Rennes,Marseille,H,0.2461848592388619,0.2696215735353909,0.484193567225747,A,0.35,0.4,0.2499999999999999,1.0900000000000003,3.46,3.52,2.04,3.8,3.58,1.93,0.2718105562789571,0.26717742179692944,0.46101202192411345,0.2481165207523862,0.26336390470923676,0.4885195745383771
2025-08-15,La Liga,Girona,Vallecano,A,0.3711189574194479,0.3006087215299869,0.328272321050565,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.24,3.26,3.26,2.39,3.15,3.09,0.42118863049095606,0.289405684754522,0.289405684754522,0.39491461470112105,0.29963362829704104,0.305451757001838
2025-08-15,La Liga,Villarreal,Oviedo,H,0.6632536541154149,0.2057642010140098,0.130982144870575,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.38,4.74,8.11,1.39,4.7,8.02,0.6843223959668462,0.19923310262325897,0.1164445014098949,0.6807067474735801,0.2013153997847396,0.11797785274168034
2025-08-16,Premier League,Brighton,Fulham,D,0.5520659740509932,0.2383478240185602,0.2095862019304465,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.92,3.62,3.91,1.83,3.64,4.26,0.49469799173767465,0.2623812552862805,0.24292075297604485,0.5175113638639139,0.26017741644806663,0.2223112196880194
2025-08-16,La Liga,Valencia,Sociedad,D,0.4521575032754051,0.2680109895209411,0.2798315072036537,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.55,2.89,3.07,2.43,3.0,3.18,0.36859947736422066,0.3252348329684299,0.3061656896673494,0.38847760756431865,0.31466686212709816,0.29685553030858314
2025-08-16,Premier League,Wolves,Man City,A,0.1679409676600964,0.2132755957427315,0.6187834365971719,A,0.35,0.4,0.2499999999999999,1.0900000000000003,6.73,4.73,1.44,6.24,4.32,1.51,0.140915645501321,0.20049942795431083,0.6585849265443683,0.15204743790557168,0.21962407697471467,0.6283284851197136
2025-08-16,Ligue 1,Nice,Toulouse,A,0.6024599204984354,0.2388411513890232,0.1586989281125412,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.08,3.34,3.47,1.95,3.39,3.9,0.4500089304434936,0.2802450824318763,0.26974598712463016,0.4818763326226013,0.2771855010660981,0.24093816631130066
2025-08-16,Premier League,Aston Villa,Newcastle,D,0.428602020050045,0.2705317014553638,0.3008662784945909,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.3,3.56,2.94,2.38,3.41,2.93,0.41179710737948727,0.2660486929698934,0.32215419965061926,0.3983692510117422,0.2780407089172863,0.3235900400709714
2025-08-16,Ligue 1,Monaco,Le Havre,H,0.65362935558579,0.2073831168748637,0.1389875275393461,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.33,5.23,8.08,1.21,6.63,11.97,0.7047682898965489,0.179224058424935,0.11600765167851611,0.7790650759666271,0.14218231401502546,0.07875261001834742
2025-08-16,Premier League,Sunderland,West Ham,H,0.2328644954357274,0.2654665863205665,0.5016689182437059,A,0.35,0.4,0.2499999999999999,1.0900000000000003,3.17,3.38,2.26,3.4,3.17,2.25,0.29935417123867447,0.28075524343982194,0.4198905853215036,0.2790438371706344,0.2992899199937404,0.4216662428356253
2025-08-16,La Liga,Mallorca,Barcelona,A,0.1379575522395966,0.1917460424699446,0.6702964052904585,A,0.35,0.4,0.2499999999999999,1.0900000000000003,6.75,4.74,1.43,8.7,5.79,1.56,0.13997113103166292,0.199325977734963,0.660702891233374,0.1237698246306391,0.18597538416002762,0.6902547912093333
2025-08-16,Premier League,Tottenham,Burnley,H,0.4942080132824277,0.2676456262761127,0.2381463604414594,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.37,4.8,8.3,1.55,4.01,6.16,0.6894284181563327,0.1967743610154533,0.11379722082821393,0.6104420846606088,0.23595641676407572,0.15360149857531552
2025-08-16,Ligue 1,Lens,Lyon,A,0.4162007852011242,0.2580731452459557,0.3257260695529199,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.29,3.56,2.87,2.43,3.47,2.75,0.40964000336782685,0.2635043841888549,0.32685561244331823,0.3870082045333798,0.27101727291530636,0.34197452255131383
2025-08-16,La Liga,Alaves,Levante,H,0.4390377327140811,0.2922617046488322,0.2687005626370864,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.19,3.04,3.64,2.08,3.08,3.92,0.43065522985195454,0.3102417609788751,0.2591030091691704,0.4533221194280908,0.3061396131202691,0.24053826745164003
2025-08-17,Premier League,Chelsea,Crystal Palace,D,0.4800352732597489,0.2719503024928665,0.2480144242473845,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.61,4.21,5.08,1.82,3.72,4.26,0.5884596229883033,0.22504037838745097,0.18649999862424577,0.521790667351535,0.25528468133865423,0.22292465130981076
2025-08-17,La Liga,Ath Bilbao,Sevilla,H,0.631491754892935,0.2150213805733028,0.153486864533762,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.55,3.91,6.17,1.56,3.8,6.43,0.6069305411246153,0.2405990636171749,0.15247039525820968,0.604909785902438,0.24833138579152722,0.14675882830603476
2025-08-17,Ligue 1,Angers,Paris FC,H,0.3172145050587119,0.2796326550355981,0.4031528399056899,A,0.35,0.4,0.2499999999999999,1.0900000000000003,2.62,3.12,2.74,3.04,3.27,2.35,0.3576604468245335,0.30034306752573003,0.34199648564973645,0.3102429216812748,0.28842155410124626,0.40133552421747887
2025-08-17,Ligue 1,Auxerre,Lorient,H,0.4922479934058332,0.2662217567177546,0.2415302498764119,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.32,3.35,2.96,2.49,3.18,2.88,0.40382485176255944,0.27966377793705605,0.3165113703003844,0.3777002449706777,0.2957464182317571,0.32655333679756515
2025-08-17,Ligue 1,Brest,Lille,D,0.3339343980468069,0.2760171468783047,0.3900484550748882,A,0.35,0.4,0.2499999999999999,1.0900000000000003,3.22,3.41,2.16,2.46,3.18,2.93,0.29111892810560847,0.27489822536658626,0.4339828465278052,0.38267619517003454,0.29603252833908333,0.32129127649088224
2025-08-17,Ligue 1,Metz,Strasbourg,A,0.2198786321213238,0.2409058779330536,0.5392154899456225,A,0.35,0.4,0.2499999999999999,1.0900000000000003,3.03,3.38,2.26,3.62,3.47,2.01,0.3089129731478486,0.27692494338401813,0.4141620834681333,0.26013061169687046,0.27137545081921355,0.468493937483916
2025-08-17,Premier League,Nott'm Forest,Brentford,H,0.4096277490423722,0.2691573795583377,0.32121487139929,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.15,3.36,3.43,1.91,3.44,4.16,0.44116937752887275,0.28229588145448703,0.27653474101664033,0.4964338245497183,0.27563622235173313,0.22792995309854852
2025-08-17,La Liga,Celta,Getafe,A,0.5421887665212113,0.2545353881032275,0.2032758453755611,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.71,3.48,5.25,1.67,3.48,5.81,0.5503293843359449,0.2704204733374902,0.17925014232656492,0.56582832164016,0.2715325566491572,0.16263912171068282
2025-08-17,Ligue 1,Nantes,Paris SG,A,0.1320062928109111,0.1839829692780251,0.6840107379110636,A,0.35,0.4,0.2499999999999999,1.0900000000000003,7.97,5.43,1.32,12.38,6.71,1.21,0.11756890417632383,0.17256430318329666,0.7098667926403794,0.07647357460343773,0.14109431499114145,0.7824321104054208
2025-08-17,Premier League,Man United,Arsenal,A,0.2202848692870251,0.2248217429034386,0.5548933878095361,A,0.35,0.4,0.2499999999999999,1.0900000000000003,3.57,3.56,2.01,3.79,3.7,1.93,0.26462528429577853,0.2653686137460476,0.4700061019581739,0.2507488052474305,0.2568481005102058,0.4924030942423636
2025-08-17,La Liga,Espanol,Ath Madrid,H,0.1621949596071431,0.2225020428106595,0.6153029975821972,A,0.35,0.4,0.2499999999999999,1.0900000000000003,6.25,3.86,1.55,5.7,3.86,1.6,0.15034363181766783,0.2434320463368974,0.6062243218454347,0.1655852860743203,0.24451713228591346,0.5898975816397661
2025-08-18,Premier League,Leeds,Everton,H,0.2574557546194472,0.2663242184267191,0.4762200269538336,A,0.35,0.4,0.2499999999999999,1.0900000000000003,2.39,3.29,2.96,2.34,3.21,3.16,0.39465227205492004,0.2866926839547899,0.31865504399029015,0.4049438309899639,0.29519269922632874,0.29986346978370737
2025-08-18,La Liga,Elche,Betis,D,0.2257659652155543,0.2516762560012245,0.5225577787832211,A,0.35,0.4,0.2499999999999999,1.0900000000000003,3.33,3.27,2.17,3.2,3.19,2.3,0.2814593571879053,0.28662374906291277,0.4319168937491819,0.2945994780164626,0.2955229873519374,0.4098775346316001
2025-08-19,La Liga,Real Madrid,Osasuna,H,0.7103834663351022,0.1878537112816968,0.1017628223832008,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.2,6.66,13.16,1.21,6.67,12.34,0.7865558164078484,0.14172176872213485,0.07172241487001657,0.7815770407150704,0.14178534021967545,0.07663761906525407
2025-08-22,Premier League,West Ham,Chelsea,A,0.2734970301405983,0.2591184770321479,0.4673844928272537,A,0.35,0.4,0.2499999999999999,1.0900000000000003,4.68,3.88,1.71,4.75,3.82,1.72,0.20230515916575192,0.24401756311745335,0.5536772777167946,0.19979687034367832,0.24843851678860526,0.5517646128677164
2025-08-22,Ligue 1,Paris SG,Angers,H,0.8397308199393412,0.1167035538946902,0.0435656261659684,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.08,11.06,24.94,1.06,11.97,29.25,0.8764602035356276,0.08558562566170687,0.03795417080266551,0.8890516553809306,0.07872972052663212,0.03221862409243715
2025-08-22,Bundesliga,Bayern Munich,RB Leipzig,H,0.7205923304765531,0.1614113787437678,0.1179962907796788,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.21,7.13,10.3,1.23,6.98,9.87,0.7768913976936251,0.13184271966469654,0.0912658826416783,0.7687353335989047,0.1354648223963686,0.09579984400472674
2025-08-22,La Liga,Betis,Alaves,H,0.5595202734531837,0.2491780848634762,0.1913016416833399,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.88,3.38,4.37,1.84,3.4,4.47,0.5034184713332379,0.2800079071320969,0.21657362153466528,0.5120826987614053,0.27712710756499587,0.21079019367359866
