date,season,league,home_team,away_team,bet,bet_result,odds,odds_source,model_probability,market_probability,break_even_probability,signal,expected_roi,actual_clv,actual_result,won,stake,profit,signal_label
2022-08-05,2022/23,Bundesliga,Ein Frankfurt,Bayern Munich,Bayern Munich,A,1.6,Max market,0.6475332335054693,0.6425013465570428,0.625,0.005031886948426489,0.036053173608751043,0.008709382843808733,A,True,10.0,6.000000000000001,STRONG
2022-08-06,2022/23,Premier League,Leeds,Wolves,DRAW,D,3.54,Max market,0.29087539331420326,0.2875492696498957,0.2824858757062147,0.0033261236643075676,0.029698892332279625,-0.0014506988562300593,H,False,10.0,-10.0,STANDARD
2022-08-06,2022/23,Ligue 1,Strasbourg,Monaco,DRAW,D,3.56,Max market,0.2885246365438392,0.2845657884263313,0.2808988764044944,0.003958848117507907,0.027147706096067648,0.011474430388068113,A,False,10.0,-10.0,STANDARD
2022-08-07,2022/23,Ligue 1,Toulouse,Nice,DRAW,D,3.64,Max market,0.2838088812010186,0.2800977545758093,0.2747252747252747,0.0037111266252092823,0.03306432757170774,0.011855552071042219,D,True,10.0,26.400000000000002,STANDARD
2022-08-07,2022/23,Ligue 1,Montpellier,Troyes,DRAW,D,3.58,Max market,0.2827075550158203,0.27913161589298147,0.27932960893854747,0.0035759391228388226,0.01209304695663671,0.019087780211060223,H,False,10.0,-10.0,STANDARD
2022-08-12,2022/23,Ligue 1,Nantes,Lille,DRAW,D,3.52,Max market,0.28697833013584106,0.28408600970470416,0.2840909090909091,0.0028923204311369077,0.01016372207816052,0.003364397805547259,D,True,10.0,25.2,STANDARD
2022-08-12,2022/23,La Liga,Osasuna,Sevilla,DRAW,D,3.24,Max market,0.3152812652602077,0.31186514954689876,0.30864197530864196,0.003416115713308965,0.021511299443073062,0.003990820130928219,H,False,10.0,-10.0,STANDARD
2022-08-13,2022/23,Premier League,Brighton,Newcastle,DRAW,D,3.46,Max market,0.29937556227112766,0.2958269779811491,0.28901734104046245,0.0035485842899785625,0.03583944545810169,-0.0019104745150793079,D,True,10.0,24.6,STANDARD
2022-08-13,2022/23,Bundesliga,Werder Bremen,Stuttgart,DRAW,D,3.75,Max market,0.2704768908118333,0.26727666839308667,0.26666666666666666,0.0032002224187466233,0.014288340544374778,-0.0005693141056286599,D,True,10.0,27.5,STANDARD
2022-08-13,2022/23,Premier League,Man City,Bournemouth,Bournemouth,A,50.0,Max market,0.02825408256875128,0.02559785984859527,0.02,0.0026562227201560075,0.4127041284375639,0.004561433311169049,H,False,10.0,-10.0,STANDARD
2022-08-13,2022/23,Bundesliga,Hertha,Ein Frankfurt,DRAW,D,3.72,Max market,0.2750942723546996,0.2723801311859083,0.26881720430107525,0.002714141168791262,0.02335069315948246,-0.006770904840654568,D,True,10.0,27.200000000000003,STANDARD
2022-08-13,2022/23,Premier League,Wolves,Fulham,DRAW,D,3.46,Max market,0.29697180254735145,0.29343269678621337,0.28901734104046245,0.003539105761138084,0.027522436813836038,-0.01063014901551268,D,True,10.0,24.6,STANDARD
