date,league,home_team,away_team,expected_home_goals,expected_away_goals,prob_home,prob_draw,prob_away,result
2024-08-15,La Liga,Betis,Girona,1.4041354685994434,1.5886861089483233,0.33831862430701926,0.24221384914150418,0.4194675265514765,D
2024-08-15,La Liga,Ath Bilbao,Getafe,1.9040924622478792,0.8369976569799598,0.6250041338868574,0.21627594289987986,0.1587199232132628,D
2024-08-16,La Liga,Celta,Alaves,1.5736641554000261,1.051222850966889,0.49450238310526345,0.25198007012497986,0.2535175467697567,H
2024-08-16,Ligue 1,Le Havre,Paris SG,0.9318443964257865,2.3133425879432745,0.13619221982886898,0.18065315819967862,0.6831546219714524,A
2024-08-16,Premier League,Man United,Fulham,1.8373984230463503,0.9685313788995358,0.5776855619758666,0.2264827760836216,0.1958316619405117,H
2024-08-16,La Liga,Las Palmas,Sevilla,1.1382597393392786,1.410439991824837,0.30386631073915976,0.26402997606407497,0.43210371319676527,D
2024-08-17,Premier League,Ipswich,Liverpool,0.9128875578453624,1.9283207669233566,0.17238962426863688,0.21617603037977856,0.6114343453515846,A
2024-08-17,Ligue 1,Monaco,St Etienne,2.6534862531422787,0.7581494781797513,0.776287009158342,0.14121723970704864,0.08249575113460933,H
2024-08-17,La Liga,Valencia,Barcelona,0.9130746675566375,2.038679161370122,0.1600545769915007,0.2053042395103043,0.6346411834981951,A
2024-08-17,Serie A,Parma,Fiorentina,0.9558561490121316,1.9789985868000146,0.17570044116304506,0.21246173378184885,0.6118378250551061,D
2024-08-17,Premier League,Nott'm Forest,Bournemouth,1.3995784920253678,1.2379495530299454,0.40723419137010597,0.26070920864586045,0.33205659998403353,D
2024-08-17,Premier League,West Ham,Aston Villa,1.392543923015366,1.5687796381896657,0.33917964009554713,0.2437721031147252,0.4170482567897278,A
2024-08-17,Premier League,Newcastle,Southampton,2.8770748009636926,0.85553646449818,0.7868250950115233,0.13070593749667445,0.08246896749180227,H
2024-08-17,Ligue 1,Reims,Lille,1.2602511434289654,1.5292571923765965,0.3136976962502287,0.25075658223564085,0.4355457215141305,A
2024-08-17,Serie A,Milan,Torino,2.1385772518840995,0.9772370637027669,0.639498243384302,0.19827666631300844,0.16222509030268956,D
2024-08-17,Premier League,Arsenal,Wolves,2.8945254347279668,0.6818926547886851,0.8227453833555983,0.11723863775022615,0.06001597889417551,H
2024-08-17,Serie A,Empoli,Monza,1.2812341637936353,1.214001004209343,0.3809516674435848,0.27016221975313026,0.3488861128032849,D
2024-08-17,La Liga,Osasuna,Leganes,1.5380393706779951,1.0610917289429111,0.4831258821029423,0.255110624275993,0.26176349362106477,D
2024-08-17,Ligue 1,Brest,Marseille,1.573828517007924,1.2504653818199127,0.4488097649968249,0.24786196593469004,0.303328269068485,A
2024-08-17,Serie A,Genoa,Inter,0.9929347067091454,2.1407576270665194,0.16510487965417428,0.1986493331486258,0.6362457871971999,D
2024-08-17,Premier League,Everton,Brighton,1.389792902266682,1.0959231825999352,0.43625341996004113,0.2673799190687947,0.29636666097116426,A
2024-08-18,Serie A,Lazio,Venezia,2.201476823370323,0.787766640496562,0.6965005155847095,0.18358563486053706,0.11991384955475339,H
2024-08-18,Serie A,Verona,Napoli,1.1350908062048872,1.5657305190769875,0.2759192031073494,0.25123961234506376,0.47284118454758683,H
2024-08-18,Ligue 1,Rennes,Lyon,1.6150593221873,1.4165885828457727,0.4232350624444986,0.24028031495487318,0.3364846226006282,H
2024-08-18,La Liga,Sociedad,Vallecano,1.8054217525020393,0.8034108655000419,0.6116916360014868,0.2259712919135174,0.16233707208499573,A
2024-08-18,Premier League,Chelsea,Man City,1.175440487620127,2.1341287576609704,0.2027026879086888,0.20444954820404113,0.5928477638872701,A
2024-08-18,Ligue 1,Angers,Lens,0.901438942536092,1.9320688722172448,0.16948624148173294,0.21545918596689148,0.6150545725513756,A
2024-08-18,La Liga,Mallorca,Real Madrid,0.864357458406913,2.531729289081114,0.10658662912248631,0.15815419154228463,0.7352591793352291,D
2024-08-18,Ligue 1,Montpellier,Strasbourg,1.5956959251408653,1.0944286059907924,0.4898075944894446,0.24937146758669068,0.26082093792386474,D
2024-08-18,Ligue 1,Toulouse,Nantes,1.6955405025100219,0.9840971625402887,0.5407513740100128,0.24061096045015193,0.2186376655398353,D
2024-08-18,Serie A,Cagliari,Roma,1.101454500065072,1.6848462351304054,0.24851842677443972,0.24144793780023177,0.5100336354253284,D
2024-08-18,Ligue 1,Auxerre,Nice,1.1285786781675822,1.603572848617932,0.2680391616960518,0.2481635577193326,0.4837972805846157,H
2024-08-18,Serie A,Bologna,Udinese,1.81271492346557,0.9182932060614118,0.58442858523145,0.22801962716912227,0.18755178759942776,D
2024-08-18,Premier League,Brentford,Crystal Palace,1.4230251527085496,1.4956627513448228,0.36049903390923227,0.24666645238642299,0.39283451370434475,H
2024-08-19,Serie A,Lecce,Atalanta,0.9751604898237015,1.765029641997607,0.2068974148493598,0.23368693260304596,0.5594156525475942,A
2024-08-19,La Liga,Villarreal,Ath Madrid,1.3790672996274291,1.481614806636484,0.35230597006087755,0.24933808336600446,0.39835594657311796,D
2024-08-19,Premier League,Leicester,Tottenham,1.2247362873577445,1.5600079256339237,0.29935081642324063,0.24956861593970858,0.4510805676370508,D
2024-08-19,Serie A,Juventus,Como,1.9487780045375191,0.8107376501408096,0.6411150049692834,0.2105543133246137,0.14833068170610286,H
2024-08-19,La Liga,Valladolid,Espanol,1.4218009729492944,1.2688306914265193,0.40635960113555153,0.257820385426926,0.33582001343752255,H
