threshold,signals,direction_accuracy,average_clv,median_clv
0.0,1752,0.5884703196347032,0.002060662724179219,0.0027320812394363847
0.0025,1060,0.6273584905660378,0.0029511015689489732,0.00371094429604385
0.005,103,0.6990291262135923,0.005234353038843175,0.006355571797603099
