date,league,home_team,away_team,result,prob_home,prob_draw,prob_away,prediction,logistic_weight,poisson_weight,boosting_weight,boosting_temperature,avg_home_odds,avg_draw_odds,avg_away_odds,b365_home_odds,b365_draw_odds,b365_away_odds,market_prob_home,market_prob_draw,market_prob_away,model_market_home_diff,model_market_draw_diff,model_market_away_diff
2025-08-15,Premier League,Liverpool,Bournemouth,H,0.7119107673487569,0.1715365561327641,0.1165526765184787,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.31,5.96,8.31,1.3,6.0,8.5,0.7259844066296011,0.15957039810147275,0.11444519526892628,-0.014073639280844152,0.011966158031291363,0.0021074812495524148
2025-08-15,Ligue 1,Rennes,Marseille,H,0.2461848592388619,0.2696215735353909,0.484193567225747,A,0.35,0.4,0.2499999999999999,1.0900000000000003,3.46,3.52,2.04,3.5,3.6,2.05,0.2718105562789571,0.26717742179692944,0.46101202192411345,-0.025625697040095208,0.002444151738461464,0.023181545301633577
2025-08-15,La Liga,Girona,Vallecano,A,0.3711189574194479,0.3006087215299869,0.328272321050565,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.24,3.26,3.26,2.25,3.25,3.3,0.42118863049095606,0.289405684754522,0.289405684754522,-0.05006967307150817,0.011203036775464914,0.03886663629604298
2025-08-15,La Liga,Villarreal,Oviedo,H,0.6632536541154149,0.2057642010140098,0.130982144870575,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.38,4.74,8.11,1.4,4.75,8.0,0.6843223959668462,0.19923310262325897,0.1164445014098949,-0.02106874185143126,0.0065310983907508335,0.014537643460680094
2025-08-16,Premier League,Brighton,Fulham,D,0.5520659740509932,0.2383478240185602,0.2095862019304465,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.92,3.62,3.91,1.91,3.6,4.0,0.49469799173767465,0.2623812552862805,0.24292075297604485,0.05736798231331858,-0.024033431267720284,-0.03333455104559835
2025-08-16,La Liga,Valencia,Sociedad,D,0.4521575032754051,0.2680109895209411,0.2798315072036537,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.55,2.89,3.07,2.6,2.9,3.1,0.36859947736422066,0.3252348329684299,0.3061656896673494,0.08355802591118444,-0.05722384344748882,-0.026334182463695732
2025-08-16,Premier League,Wolves,Man City,A,0.1679409676600964,0.2132755957427315,0.6187834365971719,A,0.35,0.4,0.2499999999999999,1.0900000000000003,6.73,4.73,1.44,6.25,4.75,1.45,0.140915645501321,0.20049942795431083,0.6585849265443683,0.0270253221587754,0.012776167788420667,-0.039801489947196345
2025-08-16,Ligue 1,Nice,Toulouse,A,0.6024599204984354,0.2388411513890232,0.1586989281125412,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.08,3.34,3.47,2.1,3.3,3.6,0.4500089304434936,0.2802450824318763,0.26974598712463016,0.15245099005494184,-0.04140393104285309,-0.11104705901208897
2025-08-16,Premier League,Aston Villa,Newcastle,D,0.428602020050045,0.2705317014553638,0.3008662784945909,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.3,3.56,2.94,2.25,3.5,2.9,0.41179710737948727,0.2660486929698934,0.32215419965061926,0.016804912670557726,0.004483008485470397,-0.021287921156028344
2025-08-16,Ligue 1,Monaco,Le Havre,H,0.65362935558579,0.2073831168748637,0.1389875275393461,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.33,5.23,8.08,1.33,5.25,8.0,0.7047682898965489,0.179224058424935,0.11600765167851611,-0.05113893431075889,0.028159058449928692,0.022979875860829987
2025-08-16,Premier League,Sunderland,West Ham,H,0.2328644954357274,0.2654665863205665,0.5016689182437059,A,0.35,0.4,0.2499999999999999,1.0900000000000003,3.17,3.38,2.26,3.25,3.4,2.25,0.29935417123867447,0.28075524343982194,0.4198905853215036,-0.06648967580294707,-0.015288657119255422,0.08177833292220227
2025-08-16,La Liga,Mallorca,Barcelona,A,0.1379575522395966,0.1917460424699446,0.6702964052904585,A,0.35,0.4,0.2499999999999999,1.0900000000000003,6.75,4.74,1.43,7.0,5.0,1.4,0.13997113103166292,0.199325977734963,0.660702891233374,-0.0020135787920663173,-0.007579935265018406,0.009593514057084529
2025-08-16,Premier League,Tottenham,Burnley,H,0.4942080132824277,0.2676456262761127,0.2381463604414594,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.37,4.8,8.3,1.38,4.75,8.5,0.6894284181563327,0.1967743610154533,0.11379722082821393,-0.19522040487390502,0.07087126526065943,0.12434913961324547
