date,league,home_team,away_team,pick,pick_code,odds,model_probability,market_probability,break_even,signal,betting_edge,expected_roi,actual_clv,actual_result,won,decision,profit,reason
2026-09-03,La Liga,Sociedad,Celta,DRAW,D,3.6,0.2714543864080469,0.2682615844042545,0.2777777777777778,0.0031928020037924054,-0.006323391369730869,-0.022764208931031038,-0.011144583757842164,D,True,SKIP,0.0,EV < 1%
2026-09-03,Ligue 1,Toulouse,Lille,DRAW,D,3.25,0.286473368692932,0.2825859278301438,0.3076923076923077,0.003887440862788194,-0.021218938999375714,-0.06896155174797103,-0.0060108581958767116,A,False,SKIP,0.0,EV < 1%
2026-09-04,Bundesliga,Stuttgart,FC Koln,Stuttgart,H,1.48,0.6454451559323361,0.6437399767737655,0.6756756756756757,0.0017051791585706022,-0.030230519743339568,-0.044741169220142596,0.011855042936628313,H,True,SKIP,0.0,"signal < 0.25%, EV < 1%"
2026-09-04,La Liga,Betis,Real Madrid,Real Madrid,A,1.38,0.6703874394858944,0.6644690438058568,0.7246376811594204,0.0059183956800376025,-0.05425024167352599,-0.07486533350946578,-0.01228740177469434,H,False,SKIP,0.0,EV < 1%
2026-09-04,Ligue 1,Paris SG,Monaco,Paris SG,H,1.33,0.7056913486236531,0.7043139858221364,0.7518796992481203,0.0013773628015166794,-0.046188350624467134,-0.06143050633054126,0.01293476538554339,A,False,SKIP,0.0,"signal < 0.25%, EV < 1%"
2026-09-04,Ligue 1,Lyon,Auxerre,Lyon,H,1.42,0.6664734485812487,0.663951694440752,0.7042253521126761,0.0025217541404967125,-0.03775190353142743,-0.05360770301462692,0.012748412698626588,H,True,SKIP,0.0,EV < 1%
2026-09-04,Premier League,Ipswich,Liverpool,Liverpool,A,1.5,0.6341791283666057,0.630428530342249,0.6666666666666666,0.0037505980243567327,-0.0324875383000609,-0.048731307450091466,-0.04446993448266301,A,True,SKIP,0.0,EV < 1%
2026-09-04,Serie A,Genoa,Como,DRAW,D,3.4,0.2778533551024534,0.2754946051721841,0.29411764705882354,0.0023587499302692994,-0.016264291956370136,-0.055298592651658485,-0.01458059591999672,A,False,SKIP,0.0,"signal < 0.25%, EV < 1%"
2026-09-05,Bundesliga,Hoffenheim,Dortmund,DRAW,D,3.9,0.2487019500436233,0.2459842519685039,0.25641025641025644,0.0027176980751194013,-0.007708306366633139,-0.030062394829869166,0.0016052350082348121,A,False,SKIP,0.0,EV < 1%
2026-09-05,Bundesliga,Paderborn,Freiburg,DRAW,D,3.6,0.2593377481146376,0.2561113228839179,0.2777777777777778,0.0032264252307196983,-0.01844002966314018,-0.06638410678730455,-0.008624500865886398,A,False,SKIP,0.0,EV < 1%
2026-09-05,Bundesliga,Leverkusen,Union Berlin,DRAW,D,4.75,0.1953722065613071,0.1947092005446411,0.21052631578947367,0.0006630060166659957,-0.015154109228166568,-0.0719820188337913,-0.021938282915340696,H,False,SKIP,0.0,"signal < 0.25%, EV < 1%"
2026-09-05,Bundesliga,M'gladbach,Elversberg,M'gladbach,H,1.9,0.5069081898522716,0.5033360248183247,0.5263157894736842,0.0035721650339468614,-0.019407599621412586,-0.03687443928068401,-0.005904709205190817,A,False,SKIP,0.0,EV < 1%
2026-09-05,Bundesliga,Werder Bremen,RB Leipzig,DRAW,D,4.0,0.2344370510088979,0.2325374872137272,0.25,0.0018995637951707,-0.01556294899110211,-0.06225179596440844,-0.0015777097472797763,H,False,SKIP,0.0,"signal < 0.25%, EV < 1%"
2026-09-05,Bundesliga,Schalke 04,Bayern Munich,Bayern Munich,A,1.17,0.81961774970261,0.8177253337540693,0.8547008547008548,0.0018924159485407266,-0.03508310499824474,-0.04104723284794631,-0.02700798863170173,D,False,SKIP,0.0,"signal < 0.25%, EV < 1%"
2026-09-05,La Liga,Vallecano,Santander,DRAW,D,3.25,0.2827905851387043,0.278896808180973,0.3076923076923077,0.0038937769577312986,-0.0249017225536034,-0.08093059829921101,-0.018393279694544407,H,False,SKIP,0.0,EV < 1%
2026-09-05,La Liga,Villarreal,La Coruna,DRAW,D,4.2,0.2128195684412471,0.2120500437043642,0.23809523809523808,0.0007695247368829095,-0.025275669653990973,-0.10615781254676215,-0.009623782002120468,A,False,SKIP,0.0,"signal < 0.25%, EV < 1%"
2026-09-05,La Liga,Ath Bilbao,Ath Madrid,DRAW,D,3.3,0.2807258126945961,0.2768804189956427,0.30303030303030304,0.0038453936989534254,-0.022304490335706917,-0.07360481810783281,0.007299726219095859,H,False,SKIP,0.0,EV < 1%
2026-09-05,Ligue 1,Le Havre,Brest,DRAW,D,3.25,0.2949705915542994,0.2904105948163806,0.3076923076923077,0.004559996737918792,-0.012721716138008321,-0.04134557744852696,0.0032578904724847035,A,False,SKIP,0.0,EV < 1%
2026-09-05,Ligue 1,Lens,Lorient,Lens,H,1.45,0.6435688701640316,0.6434260996004768,0.6896551724137931,0.0001427705635548282,-0.04608630224976151,-0.0668251382621542,-0.020368454262250424,A,False,SKIP,0.0,"signal < 0.25%, EV < 1%"
2026-09-05,Ligue 1,Nice,Le Mans,Nice,H,1.85,0.5153632628331019,0.5141134192663274,0.5405405405405405,0.001249843566774489,-0.025177277707438606,-0.046577963758761554,0.05711220576473053,D,False,SKIP,0.0,"signal < 0.25%, EV < 1%"
2026-09-05,Premier League,Brentford,Sunderland,DRAW,D,3.9,0.2429597408431008,0.2412750430757796,0.25641025641025644,0.0016846977673211916,-0.013450515567155652,-0.05245701071190689,0.003404097008925272,D,True,SKIP,0.0,"signal < 0.25%, EV < 1%"
2026-09-05,Premier League,Nott'm Forest,Tottenham,DRAW,D,3.4,0.2836410532108788,0.2797339593114241,0.29411764705882354,0.0039070938994547055,-0.010476593847944748,-0.03562041908301217,-3.888636761151254e-05,D,True,SKIP,0.0,EV < 1%
2026-09-05,Premier League,Fulham,Crystal Palace,Fulham,H,2.3,0.4082103307022742,0.4074807155883492,0.4347826086956522,0.0007296151139249973,-0.026572277993378024,-0.0611162393847694,0.030742082878941757,A,False,SKIP,0.0,"signal < 0.25%, EV < 1%"
2026-09-05,Premier League,Brighton,Leeds,DRAW,D,3.5,0.2706283827014378,0.2677878395860285,0.2857142857142857,0.002840543115409322,-0.015085903012847901,-0.05280066054496768,-0.00766410808554141,D,True,SKIP,0.0,EV < 1%
2026-09-05,Premier League,Newcastle,Bournemouth,Newcastle,H,2.1,0.4488973520109219,0.4473811963967851,0.47619047619047616,0.001516155614136816,-0.027293124179554262,-0.05731556077706401,-0.001112539680367175,D,False,SKIP,0.0,"signal < 0.25%, EV < 1%"
