date,league,home_team,away_team,outcome,predicted_move,actual_move,directional_clv,direction_correct,signal_strength
2026-09-03,La Liga,Sociedad,Celta,DRAW,0.00319280200379235,-0.011144583757842219,-0.011144583757842219,False,0.00319280200379235
2026-09-03,Ligue 1,Toulouse,Lille,DRAW,0.003887440862788194,-0.0060108581958767116,-0.0060108581958767116,False,0.003887440862788194
2026-09-04,Bundesliga,Stuttgart,FC Koln,AWAY,-0.001746381974492034,-0.008600916093326583,0.008600916093326583,True,0.001746381974492034
2026-09-04,La Liga,Betis,Real Madrid,AWAY,0.0059183956800376025,-0.01228740177469434,-0.01228740177469434,False,0.0059183956800376025
2026-09-04,Ligue 1,Paris SG,Monaco,HOME,0.0013773628015166794,0.01293476538554339,0.01293476538554339,True,0.0013773628015166794
2026-09-04,Ligue 1,Lyon,Auxerre,HOME,0.0025217541404967125,0.012748412698626588,0.012748412698626588,True,0.0025217541404967125
2026-09-04,Premier League,Ipswich,Liverpool,AWAY,0.0037505980243567327,-0.04446993448266301,-0.04446993448266301,False,0.0037505980243567327
2026-09-04,Serie A,Genoa,Como,DRAW,0.0023587499302692994,-0.01458059591999672,-0.01458059591999672,False,0.0023587499302692994
2026-09-05,Bundesliga,Hoffenheim,Dortmund,DRAW,0.002717698075119429,0.0016052350082347844,0.0016052350082347844,True,0.002717698075119429
2026-09-05,Bundesliga,Paderborn,Freiburg,DRAW,0.003226425230719754,-0.008624500865886398,-0.008624500865886398,False,0.003226425230719754
2026-09-05,Bundesliga,Leverkusen,Union Berlin,DRAW,0.0006630060166660512,-0.021938282915340696,-0.021938282915340696,False,0.0006630060166660512
2026-09-05,Bundesliga,M'gladbach,Elversberg,AWAY,-0.0053311835537230845,0.014355297490504099,-0.014355297490504099,False,0.0053311835537230845
2026-09-05,Bundesliga,Werder Bremen,RB Leipzig,DRAW,0.0018995637951707,-0.0015777097472798318,-0.0015777097472798318,False,0.0018995637951707
2026-09-05,Bundesliga,Schalke 04,Bayern Munich,AWAY,0.0018924159485407266,-0.02700798863170173,-0.02700798863170173,False,0.0018924159485407266
2026-09-05,La Liga,Vallecano,Santander,DRAW,0.003893776957731243,-0.018393279694544462,-0.018393279694544462,False,0.003893776957731243
2026-09-05,La Liga,Villarreal,La Coruna,DRAW,0.0007695247368829095,-0.009623782002120523,-0.009623782002120523,False,0.0007695247368829095
2026-09-05,La Liga,Ath Bilbao,Ath Madrid,DRAW,0.00384539369895337,0.0072997262190958034,0.0072997262190958034,True,0.00384539369895337
2026-09-05,Ligue 1,Le Havre,Brest,DRAW,0.004559996737918792,0.0032578904724847035,0.0032578904724847035,True,0.004559996737918792
2026-09-05,Ligue 1,Lens,Lorient,AWAY,-0.000831075340128995,0.014264128079020028,-0.014264128079020028,False,0.000831075340128995
2026-09-05,Ligue 1,Nice,Le Mans,AWAY,-0.0036236913265828563,-0.03474570405779023,0.03474570405779023,True,0.0036236913265828563
2026-09-05,Premier League,Brentford,Sunderland,DRAW,0.001684697767321247,0.003404097008925272,0.003404097008925272,True,0.001684697767321247
2026-09-05,Premier League,Nott'm Forest,Tottenham,DRAW,0.003907093899454761,-3.888636761151254e-05,-3.888636761151254e-05,False,0.003907093899454761
2026-09-05,Premier League,Fulham,Crystal Palace,AWAY,-0.004447366770970573,-0.029442840268353643,0.029442840268353643,True,0.004447366770970573
2026-09-05,Premier League,Brighton,Leeds,AWAY,-0.002978522698505459,-0.0029949851201052646,0.0029949851201052646,True,0.002978522698505459
2026-09-05,Premier League,Newcastle,Bournemouth,AWAY,-0.004392976513102997,-0.0006976360903902523,0.0006976360903902523,True,0.004392976513102997
2026-09-05,Premier League,Man City,Coventry,DRAW,-0.0010323250987593485,0.00805472520489263,-0.00805472520489263,False,0.0010323250987593485
