date,league,home_team,away_team,prob_home,prob_draw,prob_away,result
2024-08-15,La Liga,Betis,Girona,0.3128394337604133,0.2657296095007986,0.42143095673878816,D
2024-08-15,La Liga,Ath Bilbao,Getafe,0.6391792443844044,0.21601327754667574,0.14480747806891986,D
2024-08-16,La Liga,Celta,Alaves,0.497360837536508,0.2807188425516982,0.22192031991179384,H
2024-08-16,Ligue 1,Le Havre,Paris SG,0.11741033911065633,0.16850085584454425,0.7140888050447994,A
2024-08-16,Premier League,Man United,Fulham,0.5997563628123814,0.22881636023453236,0.17142727695308616,H
2024-08-16,La Liga,Las Palmas,Sevilla,0.2759554381700819,0.26844157751147835,0.4556029843184397,D
2024-08-17,Premier League,Ipswich,Liverpool,0.1636453555401638,0.1676209554556906,0.6687336890041456,A
2024-08-17,Ligue 1,Monaco,St Etienne,0.7776056320449869,0.15050851251517403,0.07188585543983907,H
2024-08-17,La Liga,Valencia,Barcelona,0.14412265384529113,0.19483534855536672,0.6610419975993421,A
2024-08-17,Serie A,Parma,Fiorentina,0.15505273712833914,0.2337035100749007,0.6112437527967601,D
2024-08-17,Premier League,Nott'm Forest,Bournemouth,0.390933948699657,0.28907606051316953,0.31998999078717344,D
2024-08-17,Premier League,West Ham,Aston Villa,0.32136995584318295,0.24640831324904583,0.4322217309077713,A
2024-08-17,Premier League,Newcastle,Southampton,0.7667447462998711,0.15756865118411742,0.07568660251601131,H
2024-08-17,Ligue 1,Reims,Lille,0.2971731535128685,0.244247653750261,0.45857919273687053,A
2024-08-17,Serie A,Milan,Torino,0.669890245109636,0.19048528093849254,0.13962447395187147,D
2024-08-17,Premier League,Arsenal,Wolves,0.8233419297475901,0.12591510987846655,0.05074296037394329,H
2024-08-17,Serie A,Empoli,Monza,0.36558804918752563,0.26919652787124176,0.36521542294123255,D
2024-08-17,La Liga,Osasuna,Leganes,0.4871189557172977,0.29495967668397266,0.2179213675987296,D
2024-08-17,Ligue 1,Brest,Marseille,0.4597399419114526,0.2537454962935942,0.2865145617949532,A
2024-08-17,Serie A,Genoa,Inter,0.12858579604879866,0.1781203403915992,0.6932938635596022,D
2024-08-17,Premier League,Everton,Brighton,0.4390312882078696,0.26216910455934,0.29879960723279037,A
2024-08-18,Serie A,Lazio,Venezia,0.7027676308355373,0.2029503246240388,0.09428204454042398,H
2024-08-18,Serie A,Verona,Napoli,0.2418341837049926,0.235610870530491,0.5225549457645162,H
2024-08-18,Ligue 1,Rennes,Lyon,0.44831975187095946,0.2389071356849618,0.3127731124440788,H
2024-08-18,La Liga,Sociedad,Vallecano,0.6308589161468767,0.23499977147892548,0.13414131237419782,A
2024-08-18,Premier League,Chelsea,Man City,0.17338963590922238,0.20784634873756722,0.6187640153532105,A
2024-08-18,Ligue 1,Angers,Lens,0.13511278652165357,0.22379083437352704,0.6410963791048194,A
2024-08-18,La Liga,Mallorca,Real Madrid,0.0807130356336826,0.16297105334535977,0.7563159110209576,D
2024-08-18,Ligue 1,Montpellier,Strasbourg,0.4907097826887923,0.2548136839669978,0.2544765333442099,D
2024-08-18,Ligue 1,Toulouse,Nantes,0.5469884204427856,0.25143693602941375,0.2015746435278006,D
2024-08-18,Serie A,Cagliari,Roma,0.21234764654106444,0.2421047765079279,0.5455475769510078,D
2024-08-18,Ligue 1,Auxerre,Nice,0.2534301424763335,0.2493137622332873,0.4972560952903792,H
2024-08-18,Serie A,Bologna,Udinese,0.6080320222978371,0.24038070290547078,0.15158727479669212,D
2024-08-18,Premier League,Brentford,Crystal Palace,0.33335150095821847,0.30285617355699707,0.3637923254847844,H
2024-08-19,Serie A,Lecce,Atalanta,0.19044836652160435,0.23920468022142446,0.5703469532569712,A
2024-08-19,La Liga,Villarreal,Ath Madrid,0.34867852971163626,0.2569334874638701,0.3943879828244935,D
2024-08-19,Premier League,Leicester,Tottenham,0.2772029357371708,0.2512629151423181,0.4715341491205112,D
2024-08-19,Serie A,Juventus,Como,0.6385305434495968,0.2225688899304361,0.13890056661996708,H
2024-08-19,La Liga,Valladolid,Espanol,0.4027292821064892,0.2825838211892428,0.314686896704268,H
2024-08-23,Ligue 1,Paris SG,Montpellier,0.7519898891746454,0.16602209351531144,0.08198801731004318,H
2024-08-23,La Liga,Celta,Valencia,0.44090957125732616,0.27696229774241055,0.28212813100026324,H
2024-08-23,Bundesliga,M'gladbach,Leverkusen,0.1054472033077734,0.18155426705032934,0.7129985296418971,A
2024-08-23,La Liga,Sevilla,Villarreal,0.33662949198051706,0.2532864338707957,0.41008407414868725,A
2024-08-24,Ligue 1,St Etienne,Le Havre,0.40952807644425826,0.27292343451781537,0.31754848903792626,A
2024-08-24,La Liga,Getafe,Vallecano,0.4466615077520959,0.2840836875620238,0.26925480468588037,D
