confidence_bin,predictions,average_prediction,actual_accuracy,calibration_gap,status
33-40%,916,0.3820618756743003,0.388646288209607,0.006584412535306727,GOOD
40-50%,2489,0.4485223429142874,0.4584170349537967,0.009894692039509323,GOOD
50-60%,1811,0.5457956436875078,0.5212589729431254,-0.02453667074438237,GOOD
60-70%,1102,0.6454496400657614,0.6333938294010889,-0.01205581066467254,GOOD
70-80%,542,0.7413757275538482,0.6918819188191881,-0.04949380873466003,OVERCONFIDENT
80-90%,219,0.8384980320834028,0.817351598173516,-0.021146433909886797,GOOD
90-100%,3,0.9161011606526687,0.6666666666666666,-0.24943449398600204,OVERCONFIDENT
